Customer ID,Country,sum_price,sum_quantity,monetary,frequency,recency,R2,F2,M2,RFM Score2,new_label
12346.0,United Kingdom,170.4,74239,77352.96,0.00929166137916646,325.1173611111111,4,3,5,435,Potential loyalist
12347.0,Iceland,644.1600000000001,3286,5633.3199999999915,0.019847970062645156,1.8736111111111111,1,4,5,145,Cant loose them
12348.0,Finland,193.10000000000002,2714,2019.4,0.013739042159777427,74.98402777777778,3,3,4,334,Needing attention
12349.0,Italy,1480.4400000000012,1624,4428.690000000002,0.006994781844169376,18.124305555555555,1,2,5,125,Lost
12350.0,Norway,65.3,197,334.40000000000003,0.0,309.8673611111111,4,1,2,412,Promising
12351.0,Unspecified,49.46,261,300.93,0.0,374.89375,4,1,2,412,Promising
12352.0,Norway,1408.7100000000016,724,2849.8400000000015,0.027997208056196616,35.925694444444446,2,4,4,244,At risk
12353.0,Bahrain,63.08000000000001,212,406.75999999999993,0.009746093948284788,203.79375,4,3,2,432,Potential loyalist
12354.0,Spain,261.21999999999986,530,1079.4,0.0,231.98541666666668,4,1,3,413,Promising
12355.0,Bahrain,107.43000000000002,543,947.61,0.005648498636907447,213.95902777777778,4,2,3,423,Potential loyalist
12356.0,Portugal,450.2500000000001,3417,6373.679999999995,0.014889928273285332,22.17361111111111,2,3,5,235,At risk
12357.0,Switzerland,1834.3100000000034,6587,18287.659999999993,0.008421019801092394,32.863194444444446,2,2,5,225,Lost
12358.0,Austria,413.33999999999975,1079,3887.070000000003,0.006838990223093561,1.1,1,2,5,125,Lost
12359.0,Cyprus,2691.549999999997,2752,8935.939999999993,0.014749942383037565,57.00208333333333,2,3,5,235,At risk
12360.0,Austria,696.1300000000006,2459,4252.89,0.01323970532461413,51.894444444444446,2,3,5,235,At risk
12361.0,Belgium,112.25000000000003,235,511.24999999999994,0.010101824992897154,286.9576388888889,4,3,2,432,Potential loyalist
12362.0,Belgium,1178.290000000001,2230,5356.230000000002,0.01494100002829735,2.8819444444444446,1,3,5,135,At risk
12363.0,Unspecified,53.17000000000001,408,552.0,0.014940161540496657,109.10555555555555,3,3,2,332,Needing attention
